date,temp,humidity,wind_speed,meanpressure,meanrainfall,dewpoint
2/18/2024,21.26,49,1.62,101.31,0,9.51
2/19/2024,21.26,46.5,1.94,101.29,0,8.8
2/20/2024,22.42,65.5,3.33,101.01,0,14.99
2/21/2024,24.65,72.25,3.78,100.87,0.78,18.15
2/22/2024,24.83,77.88,2.87,100.9,19.97,19.96
2/23/2024,23.12,66.81,2.12,101.15,7.81,15.94
2/24/2024,22.12,63.56,2.19,101.37,1.57,14.19
2/25/2024,20.83,60.44,3.37,101.45,1.54,12.13
2/26/2024,20.54,60.5,3.22,101.51,2.34,11.73
2/27/2024,21.57,53.56,2.89,101.35,0,10.97
2/28/2024,22.81,50.75,2.03,101.13,0,11.75
2/29/2024,22.8,56.5,2.18,101.23,0,12.96
3/1/2024,22.18,52.88,2.33,101.32,0,11.34
3/2/2024,22.51,49.19,2.29,101.2,0,10.49
3/3/2024,24,48.56,1.92,101.14,0.01,12.01
3/4/2024,23.49,57.06,2.44,101.13,1.09,14.23
3/5/2024,23.98,62.06,3.12,101.09,1.14,15.54
3/6/2024,22.99,45.75,2.5,101.12,0,9.11
3/7/2024,23.25,40.25,2.03,101.1,0,8.28
3/8/2024,23.67,41.19,2.08,101.11,0,8.83
3/9/2024,23.63,36.81,1.96,101.21,0,7.21
3/10/2024,23.01,38.06,1.89,101.36,0,7.17
3/11/2024,22.87,45.62,2.64,101.32,0,9.57
3/12/2024,25.3,45.31,2.63,101.06,0,11.7
3/13/2024,25.89,62.12,3.04,101.03,0,16.32
3/14/2024,26.57,70.62,3.15,101.03,2.36,19.99
3/15/2024,27.55,64.5,2.27,101.06,4.51,19.05
3/16/2024,27.13,62.62,1.88,101.2,5.91,18.3
3/17/2024,27.75,54.19,2.08,101.16,1.35,16.61
3/18/2024,28.28,49.56,1.51,101.07,0.97,16.24
3/19/2024,27.9,53.06,2.09,101.07,1.21,16.85
3/20/2024,24.51,64.56,2.51,101.23,8.05,17.15
3/21/2024,23.94,66.5,2.68,101.22,3.12,16.69
3/22/2024,24.01,67.31,2.25,100.9,4.61,16.69
3/23/2024,24.61,70.69,3.03,100.8,8.67,18.17
3/24/2024,26.44,74.19,3.37,100.98,13.54,20.69
3/25/2024,26.2,75.06,2.63,101.03,10.09,20.86
3/26/2024,26.65,71.75,2.33,101.08,11.95,20.38
3/27/2024,27.23,63.5,1.87,101.21,0.09,18.87
3/28/2024,27.18,66.44,2.28,100.98,1.82,19.68
3/29/2024,26.9,69.69,2.57,100.87,3.89,20.19
3/30/2024,27.58,76.69,3.45,100.89,11.93,22.76
3/31/2024,28.63,76.56,5.07,100.77,17.01,23.37
